file,column,fix
periods.csv,start,1
periods.csv,end,1
periods.csv,start_fade,1
periods.csv,end_fade,1
judges.csv,start,1.5
judges.csv,end,1.5
adam-moses.csv,born,1
adam-moses.csv,died,1
books.csv,start,1.5
books.csv,end,1.5
caesars.csv,born,1
caesars.csv,start,1
caesars.csv,end,1
events.csv,date,1.5
events_objects.csv,date,1.5
events25.csv,date,1.5
kings.csv,born,1
kings.csv,start,1
kings.csv,end,1
objects.csv,start,1.5
objects.csv,end,1.5
people.csv,start,1.5
people.csv,end,1.5
prophets.csv,start,1.5
prophets.csv,end,1.5
