key	text	english
pdf_title	تصور 6000 سنة من تاريخ البشرية	6000 years human history visualized
pdf_subject	الجدول الزمني للبشرية	Timeline of humankind
BCE	ق.م.	B.C.E.
CE	م.	C.E.
year	سنة	year
years	سنين	years
years_age	سنين	years
age_kings	 	 
month	شهر	month
months	شهور	months
day	يوم	day
days	أيام	days
to	ل	to
persons	الأشخاص	persons
judges	القضاة	judges
prophets	الأنبياء	prophets
kings	الملوك	kings
periods	فترات	periods
events	الأحداث	events
Deluge	غمر	Deluge
Adam	آدم	Adam
Seth	سيث	Seth
Enosh	انوش	Enosh
Kenan	كنان	Kenan
Mahalalel	ماهالاليل	Ma·hala·lel
Jared	جاريد	Jared
Enoch	اينوك	Enoch
Methuselah	أنا · هكذا · لاه	Me·thuse·lah
Lamech	لامك	Lamech
Noah	نوح	Noah
Shem	شيم	Shem
Arpachshad	أربتشاد	Ar·pachshad
Shelah	شيلة	Shelah
Eber	عابر	Eber
Peleg	بيليج	Peleg
Reu	ريو	Reu
Serug	سيروج	Serug
Nahor	ناحور	Nahor
Terah	تاراه	Terah
Abraham	ابراهيم	Abraham
Isaac	إسحاق	Isaac
Jacob	يعقوب	Jacob
Joseph	جوزيف	Joseph
Moses	موسى	Moses
Othniel	عثنيئيل	Othniel
Ehud	ايهود	Ehud
Shamgar	شمغار	Shamgar
Barak	باراك	Barak
Gideon	جدعون	Gideon
Tola	تولا	Tola
Jair	يائير	Jair
Jephthah	يفتاح	Jephthah
Ibzan	إبزان	Ibzan
Elon	ايلون	Elon
Abdon	عبدون	Abdon
Samson	شمشون	Samson
Samuel	صموئيل	Samuel
Saul	شاول	Saul
David	ديفيد	David
Solomo	سولو	Solomo
Rehoboam	رحبعام	Rehoboam
Abijah	أبيا (أبيام)	Abijah (Abijam)
Asa	ك	Asa
Jehoshaphat	يهوشافاط	Jehoshaphat
Jehoram2	يهورام	Jehoram
Ahaziah	أخزيا	Ahaziah
Athaliah	الملكة أثليا	Queen Athaliah
Jehoash	يهواش	Jehoash
Amaziah	أمصيا	Amaziah
Uzziah	عزيا (عزريا)	Uzziah (Azariah)
Jotham	يوثام	Jotham
Ahaz	آحاز	Ahaz
Hezekiah	حزقيا	Hezekiah
Manasseh	منسى	Manasseh
Amon	آمون	Amon
Josiah	يوشيا	Josiah
Jehoahaz	يهوآحاز	Jehoahaz
Jehoiakim	يهوياقيم	Jehoiakim
Jehoiachin	يهوياكين	Jehoiachin
Zedekia	صدقيا	Zedekia
Jeroboam	يربعام	Jeroboam
Nadab	ناداب	Nadab
Baasha	الباشا	Baasha
Elah	إلاه	Elah
Zimri	زيمري	Zimri
OmriTibni	عمري وتبني معًا	Omri and Tibni together
Omri	عمري (وحده)	Omri (alone)
Ahab	أهاب	Ahab
Ahaziah	أخزيا	Ahaziah
Jehoram	يهورام	Jehoram
Jehu	ياهو	Jehu
Jeoahaz	جوآحاز	Jeoahaz
JeoahazJehoash	يوآحاز ويهوآش	Jeoahaz and Jehoash
Jehoash2	يهوآش (وحده)	Jehoash (alone)
Jeroboam2	يربعام الثاني	Jeroboam II
Zechariah	زكريا	Zechariah
Schallum	شالوم	Schallum
Menahem	مناحيم	Menahem
Pekahiah	فقحيا	Pekahiah
Pekah	بيكاه	Pekah
Hoshea	هوشع	Hoshea
Elijah	إيليا	Elijah
Elisha	إليشع	Elisha
Jonah	يونس	Jonah
Amos	عاموس	Amos
Joel	جويل	Joel
Hosea	هوشع	Hosea
Isaiah	أشعياء	Isaiah
Micah	ميخا	Micah
Zephaniah	صفنيا	Zephaniah
