key	text	english
pdf_title	6000 vuoden ihmiskunnan historia visualisoituna	6000 years human history visualized
pdf_subject	Ihmiskunnan aikajana	Timeline of humankind
BCE	B.C.E.	B.C.E.
CE	C.E.	C.E.
year	vuosi	year
years	vuotta	years
years_age	vuotta	years
age_kings	 	 
month	kuukausi	month
months	kuukaudet	months
day	päivä	day
days	päivää	days
to	to	to
persons	henkilöt	persons
judges	tuomarit	judges
prophets	profeettoja	prophets
kings	kuninkaat	kings
periods	kausia	periods
events	Tapahtumat	events
Deluge	Hukuttaa	Deluge
Adam	Adam	Adam
Seth	Seth	Seth
Enosh	Enosh	Enosh
Kenan	Kenan	Kenan
Mahalalel	Ma·hala·lel	Ma·hala·lel
Jared	Jared	Jared
Enoch	Enoch	Enoch
Methuselah	Me·thuse·lah	Me·thuse·lah
Lamech	Lamech	Lamech
Noah	Noah	Noah
Shem	Shem	Shem
Arpachshad	Ar·pachshad	Ar·pachshad
Shelah	Shelah	Shelah
Eber	Eber	Eber
Peleg	Peleg	Peleg
Reu	Reu	Reu
Serug	Serug	Serug
Nahor	Nahor	Nahor
Terah	Terah	Terah
Abraham	Abraham	Abraham
Isaac	Isaac	Isaac
Jacob	Jacob	Jacob
Joseph	Joseph	Joseph
Moses	Mooses	Moses
Othniel	Othniel	Othniel
Ehud	Ehud	Ehud
Shamgar	Shamgar	Shamgar
Barak	Barak	Barak
Gideon	Gideon	Gideon
Tola	Tola	Tola
Jair	Jair	Jair
Jephthah	Jefta	Jephthah
Ibzan	Ibzan	Ibzan
Elon	Elon	Elon
Abdon	Abdon	Abdon
Samson	Simson	Samson
Samuel	Samuel	Samuel
Saul	Saul	Saul
David	David	David
Solomo	Solomo	Solomo
Rehoboam	Rehabeam	Rehoboam
Abijah	Abiah (Abijam)	Abijah (Abijam)
Asa	Asa	Asa
Jehoshaphat	Joosafat	Jehoshaphat
Jehoram2	Joram	Jehoram
Ahaziah	Ahasja	Ahaziah
Athaliah	Kuningatar Atalja	Queen Athaliah
Jehoash	Jehoash	Jehoash
Amaziah	Amaziah	Amaziah
Uzziah	Ussia (Azaria)	Uzziah (Azariah)
Jotham	Jotham	Jotham
Ahaz	Ahaz	Ahaz
Hezekiah	Hiskia	Hezekiah
Manasseh	Manasse	Manasseh
Amon	Amon	Amon
Josiah	Josiah	Josiah
Jehoahaz	Jooahas	Jehoahaz
Jehoiakim	Jojakim	Jehoiakim
Jehoiachin	Jojakin	Jehoiachin
Zedekia	Zedekia	Zedekia
Jeroboam	Jerobeam	Jeroboam
Nadab	Nadab	Nadab
Baasha	Baasha	Baasha
Elah	Elah	Elah
Zimri	Zimri	Zimri
OmriTibni	Omri ja Tibni yhdessä	Omri and Tibni together
Omri	Omri (yksin)	Omri (alone)
Ahab	Ahab	Ahab
Ahaziah	Ahasja	Ahaziah
Jehoram	Joram	Jehoram
Jehu	Jehu	Jehu
