key	text	english
Medopersia	Đa-ni-ên 2:32, 39; 7:5	Daniel 2:32, 39; 7:5
Greece	Đa-ni-ên 2:32, 39; 7:6	Daniel 2:32, 39; 7:6
Rome	Đa-ni-ên 2:33, 40; 7:7	Daniel 2:33, 40; 7:7
Angloamerica	Đa-ni-ên 2:33, 41-43	Daniel 2:33, 41-43
Babylon_c	Babylon	Babylon
Medopersia_c	Mê-đi-Ba Tư	Medo-Persia
Greece_c	Hy Lạp	Greece
Rome_c	la Mã	Rome
Angloamerica_c	Anh-Mỹ	Anglo-America
infliction1	vết thương 400 năm	400 year infliction
infliction2	Công vụ 7:6	Acts 7:6
Jacob2	Jacob/Israel	Jacob/Israel
Sarah	Sarah	Sarah
Hagar	Hagar	Hagar
Haran	Haran	Haran
Nahor	Na-ho	Nahor
Reumah	Reumah	Reumah
Milcah	Milcah	Milcah
Lot	Nhiều	Lot
Lots_wife	Vợ của Lót	Lot’s wife
Lots_daughters	Con gái của Lót	Daughters of Lot
Moab	Mô-áp (con gái lớn)	Moab (older daughter)
Ammon	Bên Am-mi (Ammon)	Ben-ammi (Ammon)
Bethuel	Be·thuel	Be·thuel
Rebekah	Rebekah	Rebekah
Laban	la ban	Laban
Leah	Leah	Leah
Rachel	Rachel	Rachel
Bilhah	Bilhah	Bilhah
Zilpah	Zilpa	Zilpah
Reuben	Reuben	Reuben
Simeon	Sime·on	Sime·on
Levi	Levi	Levi
Judah	Giu-đa	Judah
Issachar	Issa·char	Issa·char
Zebulun	Zebu·lun	Zebu·lun
Dinah	Dinah	Dinah
Esau	Ê-sau	Esau
Ishmael	Ích-ma-ên	Ishmael
Manasseh2	(Ma-na-se	(Manasseh
Ephraim	và Ép-ra-im)	and Ephraim)
Benjamin	Benjamin	Benjamin
Dan	Dân	Dan
Naphtali	Naphta·li	Naphta·li
Gad 	Gát	Gad 
Asher	Asher	Asher
Milcah1	Uz, Buz, Kemuel, Hazo,	Uz, Buz, Kemuel, Hazo,
Milcah2	Chesed, Pildash, Jidlaph	Chesed, Pildash, Jidlaph
Tebah	Tebah	Tebah
Gaham	gaham	Gaham
Tahash	Tahash	Tahash
Maacah	Maaca	Maacah
Mahalath	Mahalath/	Mahalath/
Basemath	Cơ bản·toán học	Base·math
Reuel	Tiếp sức	Reuel
Nahath	Nahath	Nahath
Zerah	Zerah	Zerah
Schammah	Schammah	Schammah
Mizzah	Mizzah	Mizzah
Adah	Adah	Adah
Eliphaz	Ê-li-pha	Eliphaz
Teman	Teman	Teman
Omar	Omar	Omar
Zepho	Zepho	Zepho
Kenaz	Kenaz	Kenaz
Korah	Cô-ra	Korah
Gatam	gatam	Gatam
Amalek	người Amalek	Amalek
Oholibamah	O·hol·i·bamah	O·hol·i·bamah
Jeush	Giê-úc	Jeush
Jalam	Jalam	Jalam
Korah	Cô-ra	Korah
Nebaioth	Nebaioth	Nebaioth
Kedar	Kedar	Kedar
Adbeel	Adbeel	Adbeel
Mibsam	Mibsam	Mibsam
Mishma	Mishma	Mishma
Dumah	Dumah	Dumah
Massa	ông chủ	Massa
Hadad	Hadad	Hadad
Tema	chủ đề	Tema
Jetur	Jetur	Jetur
Naphish	Naphish	Naphish
Kedemah	Kedemah	Kedemah
