key,text,notes,english
version,4.5,,4.5
pdf_title,6000 taon kasaysayan ng tao visualized,,6000 years human history visualized
pdf_subject,Timeline ng sangkatauhan,,Timeline of humankind
BCE,B.C.E.,,B.C.E.
CE,C.E.,,C.E.
year,taon,"timespan, age (Adam was 130 years old when Shem was born)",year
years,mga taon,,years
years_age,mga taon,"years when used as age for a person (different word than years in some languages), like he is 23 years old ",years
age_kings, ,"if the word ""year"" appears after the numeral, like ""at the age of 35 years""", 
month,buwan,,month
months,mga buwan,,months
day,araw na,,day
days,mga araw,,days
to,sa,,to
people,mga tao,,people
judges,mga hukom,,judges
prophets,mga propeta,,prophets
kings,mga hari,,kings
periods,Mga panahon,,periods
events,mga pangyayari,,events
objects,mga bagay o item,,objects or items
Deluge,Delubyo,,Deluge
Adam,Adan,Luke 3:38,Adam
Seth,Set,,Seth
Enosh,Enosh,,Enosh
Kenan,Kenan,,Kenan
Mahalalel,Mahalalel,,Mahalalel
Jared,Jared,,Jared
Enoch,Enoc,,Enoch
Methuselah,Methuselah,Luke 3:37,Methuselah
Lamech,Lamech,,Lamech
Noah,Noe,,Noah
Shem,Sem,,Shem
Arpachshad,Arpachshad,Luke 3:36,Arpachshad
Shelah,Sela,,Shelah
Eber,Eber,,Eber
Peleg,Peleg,,Peleg
Reu,Reu,,Reu
Serug,Serug,Luke 3:35,Serug
Nahor,Nahor,,Nahor
Terah,Terah,,Terah
Abraham,Abraham,,Abraham
Isaac,Isaac,,Isaac
Jacob,Jacob,Luke 3:34,Jacob
Joseph,Joseph,,Joseph
Moses,Si Moises,,Moses
Othniel,Othniel,Judges 3:9-11,Othniel
Ehud,Ehud,Judges 3:15-18,Ehud
Shamgar,Shamgar,Judges 3:31,Shamgar
Barak,Barak,Judges 4:6,Barak
Gideon,Gideon,Judges 7:1,Gideon
Tola,Tola,Judges 10:1,Tola
Jair,Jair,Judges 10:3,Jair
Jephthah,Jepte,Judges 11:1,Jephthah
Ibzan,Ibzan,Judges 12:8,Ibzan
Elon,Elon,Judges 12:11,Elon
Abdon,Abdon,Judges 12:13,Abdon
Samson,Samson,Judges 13:24,Samson
Samuel,Samuel,1 Samuel 1:20,Samuel
Saul,Saulo,1 Samuel 9:2,Saul
David,David,1 Samuel 16:13,David
Solomon,Solomon,1 Kings 2:1,Solomon
Rehoboam,Rehoboam,first king of southern kingdom of Juda,Rehoboam
Abijah,Abias (Abijam),"3 years, also Abijam",Abijah (Abijam)
Asa,Asa,,Asa
Jehoshaphat,Josaphat,bce_float = -y+1 - (12-m)/12 – (31-d)/360,Jehoshaphat
Jehoram2,Jehoram,,Jehoram
Ahaziah,Ahaziah,,Ahaziah
Athaliah,Reyna Athalia,Queen Athaliah,Queen Athaliah
Jehoash,Joas,,Jehoash
Amaziah,Amasias,,Amaziah
Uzziah,Si Uzias (Azarias),also Azariah,Uzziah (Azariah)
Jotham,Jotam,,Jotham
Ahaz,Ahaz,,Ahaz
Hezekiah,Si Ezekias,,Hezekiah
Manasseh,Manases,,Manasseh
Amon,Amon,,Amon
Josiah,Josias,,Josiah
Jehoahaz,Joachaz,Only 3 months,Jehoahaz
Jehoiakim,Jehoiakim,,Jehoiakim
Jehoiachin,Jehoiachin,Only 3 months 10 days,Jehoiachin
Zedekiah,Si Sedekias,,Zedekiah
Jeroboam,Jeroboam,first king of northern 10-tribe kingdom,Jeroboam
Nadab,Nadab,less than 2,Nadab
Baasha,Baasa,,Baasha
Elah,Elah,,Elah
Zimri,Zimri,Only 7 days in ca. 751 BCE,Zimri
OmriTibni,Omri at Tibni magkasama,4 years Omri and Tibni,Omri and Tibni together
Omri,Omri (nag iisa),from 947 Omri alone,Omri (alone)
Ahab,Ahab,,Ahab
Jehoram,Jehoram,,Jehoram
Jehu,Jehu,,Jehu
Jeoahaz,Jeoahaz,,Jeoahaz
JeoahazJehoash,Si Jeoahaz at si Joas,For 3 years Jeoahaz and Jeoash reigned together,Jeoahaz and Jehoash
Jehoash2,Joas (nag-iisa),Jehoash (alone),Jehoash (alone)
Jeroboam2,Jeroboam II,,Jeroboam II
Zechariah,Zacarias,"reign only recorded 6 months, probably only established 792 BCE",Zechariah
Schallum,Schallum,only one month,Schallum
Menahem,Menahem,,Menahem
Pekahiah,Pekahiah,,Pekahiah
Pekah,Pekah,,Pekah
Hoshea,Hosea,9 years from c. 748,Hoshea
Elijah,Elias,,Elijah
Elisha,Eliseo,,Elisha
Jonah,Jonas,,Jonah
Amos,Amos,,Amos
Joel,Joel,,Joel
Hosea,Hosea,,Hosea
Isaiah,Isaias,,Isaiah
Micah,Mika,,Micah
Zephaniah,Sepania,,Zephaniah
Nahum,Nahum,,Nahum
Jeremiah,Jeremias,,Jeremiah
Habakuk,Habakuk,,Habakuk
Daniel,Daniel,,Daniel
Ezekiel,Ezekiel,,Ezekiel
Obadiah,Obadias,,Obadiah
Malachi,Malakias,,Malachi
Ruth,Ruth,,Ruth
Ezra,Ezra,,Ezra
Nehemiah,Nehemias,,Nehemiah
Esther,Esther,,Esther
Job,Job,,Job
moses2,1593 hanggang 1473 B.C.E. – 120 taon,,1593 to 1473 B.C.E. – 120 years
moses3,Si Moises,,Moses
wilderness,Israel sa ilang 1513 hanggang 1473 A.K.P. – 40 taon,,Israel in the wilderness 1513 to 1473 B.C.E. – 40 years
timespan_judges,1473 hanggang 1117 B.C.E. – 356 taon,,1473 to 1117 B.C.E. – 356 years
timespan_judges2,Panahon ng mga hurado,,Time of the judges
temple1,Nisan 1513 BK hanggang Ziv 1034 B.C.E.,,Nisan 1513 B.C.E. to Ziv 1034 B.C.E.
temple2,479 taon hanggang sa pagtatayo ng templo – I Mga Hari 6:1,1034 BCE,479 years until the temple construction – 1 Kings 6:1
69weeks,Bininyagan ni Jesus ang taglagas 29 K.P.,,Jesus baptized autumn 29 C.E.
69weeks2,69 na linggo sa Mesiyas – Daniel 9:25,,69 weeks to the Messiah – Daniel 9:25
jesus_service,"3.5 taon ng paglilingkod kay Jesus, isinagawa ang Nisan ika 14, 33 C.E.",,"3.5 years of Jesus service, executed Nisan 14th, 33 C.E."
jesus_life,Si Jesus ay isinilang noong 2 B.C.E.,,Jesus born 2 B.C.E.
exile,607 hanggang 537 B.C.E. – 70 taon (Jeremias 25:11),,607 to 537 B.C.E. – 70 years (Jeremiah 25:11)
exile2,pagpapatapon,,exile
7times,Apocalipsis 12:9,,Revelation 12:9
7times2,7 beses – 2520 taon hanggang sa Mesiyanikong Kaharian 1914 C.E. (Daniel 4:23),,7 times – 2520 years to the Messianic Kingdom 1914 C.E. (Daniel 4:23)
ww1,Unang Digmaang Pandaigdig – 1914–1918 C.E.,,World War I – 1914–1918 C.E.
ww2,Ikalawang Digmaang Pandaigdig – 1939–1945 C.E.,,World War II – 1939–1945 C.E.
30_year_war,Tatlumpung Taong Digmaan sa Europa 1618 1648,,Thirty Years' War in Europe 1618-1648
joshua,110 taon,,110 years
joshua2,Joshua,,Joshua
caleb,higit sa 85 taon,,more than 85 years
caleb2,Caleb,,Caleb
missionary1,"Unang Paglalakbay ng Misyonero ni Pablo, c. 47-48 C.E. kasama sina Bernabe at Juan Marcos",,"First Missionary Journey of Paul, c. 47-48 C.E. with Barnabas and John Mark"
circumcision,"Isyu ng pagtutuli sa Antioquia, kumperensya sa Jerusalem c. 49 C.E.",,"Circumcision issue at Antioch, conference in Jerusalem c. 49 C.E."
missionary2,Ikalawang Paglalakbay ng Misyonero c. 49-52 C.E kasama si Silas (Silvanus),,Second Missionary Journey c. 49-52 C.E with Silas (Silvanus)
missionary3,Ikatlong Paglalakbay ng Misyonero c. 52-56 C.E.,,Third Missionary Journey c. 52-56 C.E.
caesarea,Si Pablo na nakakulong sa Cesarea c. 56-58 C.E.,,Paul in custody in Caesarea c. 56-58 C.E.
rome1,Ang unang pagkabilanggo ni Pablo sa Roma c. 59-61 C.E.,,Paul’s first imprisonment in Rome c. 59-61 C.E.
rome2,"Ikalawang pagkabilanggo ni Pablo sa Roma c. 65 CE, 2 Isinulat ni Timoteo, pinatay ni Pablo",,"Paul’s second imprisonment in Rome c. 65 CE, 2 Timothy written, Paul executed"
Julius,Julius,,Julius
Augustus,Augustus,,Augustus
Tiberius,Tiberio,,Tiberius
Caligula,Caligula,,Caligula
Claudius,Claudius,,Claudius
Nero,Nero,,Nero
Galba-Otho-Vitellius,"Galba, Otho at Vitellius (Taon ng Apat na Emperador)",,"Galba, Otho and Vitellius (Year of the Four Emperors)"
Vespasian,Vespasian,,Vespasian
event_exodus,"Exodo mula sa Ehipto noong ika 14 ng Nisan, 1513 A.K.P.",,"Exodus from Egypt on Nisan 14th, 1513 B.C.E."
event_division_kingdom,Paghahati ng Israel 997 BCE,,Division of Israel 997 BCE
event_destruction_samaria,Pagkawasak ng Samaria 740 B.C.E. ng Assyria,Destruction of Samaria 740 B.C.E. by Assyria,Destruction of Samaria 740 B.C.E. by Assyria
event_destruction_samaria2,740 B.C.E ni Assyria,was shortened here for 2 lines,740 B.C.E. by Assyria
event_destruction_jerusalem1,"Pagkawasak ng Babilonia sa Jerusalem noong 607 B.C.E., 390 taon matapos ang pagkakahati ng kaharian (Ezekiel 4:5)",,"Destruction of Jerusalem 607 B.C.E. by Babylon, 390 years after the division of the kingdom (Ezekiel 4:5)"
event_temple_rebuilt,Muling itinayo ang templo sa Jerusalem noong 515 A.K.P.,,Temple in Jerusalem rebuilt 515 B.C.E.
event_jerusalem_rebuilt,Muling itinayo ang pader ng Jerusalem 455 A.K.P.,,Jerusalem wall rebuilt 455 B.C.E.
event_destruction_jerusalem2,Pagkawasak ng Roma sa Jerusalem 70 C.E. sa ilalim ni Tito,,Destruction of Jerusalem 70 C.E. by Rome under Titus
event_1914,"Wakas ng panahon ng mga bansa (Lucas 21:24), nagsimulang mamahala ang kaharian ng Diyos sa langit 1914 C.E. ",include scripture Luke 21:24,"End of the time of the nations (Luke 21:24), God’s kingdom starts to rule in heaven 1914 C.E. "
became_king,naging hari sa edad na,,became king at age
vulgate,Vulgate na natapos ni Jerome (salin sa Latin ng bibliya) c. 405 C.E.,,Vulgate completed by Jerome (Latin translation of the bible) c. 405 C.E.
gutenberg,Gutenberg bibliya inilimbag 1455,,Gutenberg bible printed 1455
erasmus,Ang tekstong Griyego ng Kristiyanong Griegong Kasulatan na inilathala ni Desiderius Erasmus ng Rotterdam 1516,,Greek text of Christian Greek Scriptures published by Desiderius Erasmus of Rotterdam 1516
luther,Luther Bible translation noong Setyembre 1522,,Luther Bible translation in September 1522
tyndale,Tagalog Bible translation ni Tyndale 1536,,English Bible translation by Tyndale 1536
king_james,King James Bible 1611,,King James Bible 1611
69weeks3,"Sinimulan ni Jesus ang kanyang paglilingkod 29 CE (Lucas 3:1, 21)",,"Jesus starts his service 29 CE (Luke 3:1, 21)"
ransom,"gitna ng linggo ""sakripisyo upang itigil"" Daniel 9:27",,middle of week “sacrifice to cease” Daniel 9:27
