key,text,english,alternative
version,4.1,,
pdf_title,人類史6000年の年表,6000 years human history visualized ,
pdf_subject,人類の年表,Timeline of humankind ,
BCE,西暦前,B.C.E.,
CE,西暦,C.E.,
year,年,year,
years,年,years,
years_age,歳,years,
age_kings,王の年齢, ,
month,月,month,
months,月,months,
day,日,day,
days,日間,days,
to,～,to,
people,名,"people, persons",
judges,裁き人,judges,審査員
prophets,預言者,prophets,人の預言者
kings,王たち,kings,人の王
periods,期間,periods,期
events,出来事,events,件のイベント
objects,つの物やアイテム,things or items,
Deluge,大洪水,Deluge,
Adam,アダム,Adam,
Seth,セツ,Seth,
Enosh,エノシュ,Enosh,
Kenan,カイナン,Kenan,
Mahalalel,マハラルエル,Ma·hala·lel,
Jared,ヤレド,Jared,
Enoch,エノク,Enoch,
Methuselah,メトセラ,Me·thuse·lah,
Lamech,レメク,Lamech,
Noah,ノア,Noah,
Shem,セム,Shem,
Arpachshad,アルパクシャド,Ar·pachshad,
Shelah,シェラハ,Shelah,
Eber,エベル,Eber,
Peleg,ペレグ,Peleg,
Reu,レウ,Reu,
Serug,セルグ,Serug,
Nahor,ナホル,Nahor,
Terah,テラ,Terah,
Abraham,アブラハム,Abraham,
Isaac,イサク,Isaac,
Jacob,ヤコブ,Jacob,
Joseph,ジョセフ,Joseph,
Moses,モーセ,Moses,
Othniel,オテニエル,Othniel,
Ehud,エフド,Ehud,
Shamgar,シャムガル,Shamgar,
Barak,バラク,Barak,
Gideon,ギデオン,Gideon,
Tola,トラ,Tola,
Jair,ヤイル,Jair,
Jephthah,エフタ,Jephthah,
Ibzan,イブツァン,Ibzan,
Elon,エロン,Elon,
Abdon,アブドン,Abdon,
Samson,サムソン,Samson,
Samuel,サムエル,Samuel,
Saul,サウル,Saul,
David,ダビデ,David,
Solomo,ソロモン,Solomo,
Rehoboam,レハベアム,Rehoboam,
Abijah,アビヤ（アビヤム）,Abijah (Abijam),
Asa,アサ,Asa,
Jehoshaphat,エホシャファト,Jehoshaphat,
Jehoram2,エホラム,Jehoram,
Ahaziah,アハジヤ,Ahaziah,
Athaliah,アタリヤ女王,Queen Athaliah,
Jehoash,エホアシュ,Jehoash,
Amaziah,アマジヤ,Amaziah,
Uzziah,ウジヤ（アザリヤ）,Uzziah (Azariah),
Jotham,ヨタム,Jotham,
Ahaz,アハズ,Ahaz,
Hezekiah,ヒゼキヤ,Hezekiah,
Manasseh,マナセ,Manasseh,
Amon,アモン,Amon,
Josiah,ヨシヤ,Josiah,
Jehoahaz,エホアハズ,Jehoahaz,
Jehoiakim,エホヤキム,Jehoiakim,
Jehoiachin,エホヤキン,Jehoiachin,
Zedekiah,ゼデキヤ,Zedekiah,
Jeroboam,ヤラベアム,Jeroboam,
Nadab,ナダブ,Nadab,
Baasha,バアシャ,Baasha,
Elah,エラ,Elah,
Zimri,ジムリ,Zimri,
OmriTibni,オムリとティブニ,Omri and Tibni together,
Omri,オムリ (単独),Omri (alone),
Ahab,アハブ,Ahab,
Ahaziah,アハジヤ,Ahaziah,
Jehoram,エホラム,Jehoram,
Jehu,エヒウ,Jehu,
Jeoahaz,エホアハズ,Jeoahaz,
JeoahazJehoash,エホアハズとエホアシュ,Jeoahaz and Jehoash,
Jehoash2,エホアシュ (単独),Jehoash (alone),
Jeroboam2,ヤラベアム2世,Jeroboam II,
Zechariah,ゼカリヤ,Zechariah,
Schallum,シャルム,Schallum,
Menahem,メナヘム,Menahem,
Pekahiah,ペカフヤ,Pekahiah,
Pekah,ペカハ,Pekah,
Hoshea,ホシェア,Hoshea,
Elijah,エリヤ,Elijah,
Elisha,エリシャ,Elisha,
Jonah,ヨナ,Jonah,
Amos,アモス,Amos,
Joel,ヨエル,Joel,
Hosea,ホセア,Hosea,
Isaiah,イザヤ,Isaiah,
Micah,ミカ,Micah,
Zephaniah,ゼパニヤ,Zephaniah,
Nahum,ナホム,Nahum,
Jeremiah,エレミヤ,Jeremiah,
Habakuk,ハバクク,Habakuk,
Daniel,ダニエル,Daniel,
Ezekiel,エゼキエル,Ezekiel,
Obadiah,オバデヤ,Obadiah,
Malachi,マラキ,Malachi,
Ruth,ルツ,Ruth,
Ezra,エズラ,Ezra,
Nehemiah,ネヘミヤ,Nehemiah,
Esther,エステル,Esther,
Job,ヨブ,Job,
moses2,西暦前1593年から1473年 – 120年,1593 to 1473 B.C.E. – 120 years,
moses3,モーセ,Moses,
wilderness,荒野のイスラエル 西暦前1513年から1473年 – 40年,Israel in the wilderness 1513 to 1473 B.C.E. – 40 years,
timespan_judges,西暦前1473年から1117年 – 356年,1473 to 1117 B.C.E. – 356 years,
timespan_judges2,裁き人の時代,Time of the judges,
temple1,西暦前1513年ニサン~西暦前1034年ジウ,Nisan 1513 B.C.E. to Ziv 1034 B.C.E.,
temple2,神殿建設まで479年ー列王第一6:1,479 years until the temple construction – 1 Kings 6:1,
69weeks,西暦29年の秋にイエスがバプテスマを受ける,Jesus baptized autumn 29 C.E.,
69weeks2,メシアまで69週ーダニ9:25,69 weeks to the Messiah – Daniel 9:25,
jesus_service,3年半のイエスの奉仕、西暦33年ニサン14日に処刑される。,"3.5 years of Jesus service, executed Nisan 14th, 33 C.E.",
jesus_life,西暦前2年にイエスが生まれる,Jesus born 2 B.C.E.,
exile,西暦前607年から537年 –70年間 （エレミヤ25:11）,607 to 537 B.C.E. – 70 years (Jeremiah 25:11),
exile2,流刑,exile,
7times,啓示12∶9,Revelation 12:9,
7times2,7つの時 – 西暦 1914 年のメシアの王国まで 2520 年 (ダニエル 4:23),7 times – 2520 years to the Messianic Kingdom 1914 C.E. (Daniel 4:23),
ww1,第一次世界大戦 – 西暦 1914 ～ 1918 年,World War I – 1914–1918 C.E.,
ww2,第二次世界大戦 – 西暦 1939 ～ 1945 年,World War II – 1939–1945 C.E.,
30_year_war,ヨーロッパにおける三十年戦争 1618 ～ 1648 年,Thirty Years' War in Europe 1618-1648,
joshua,110歳,110 years,
joshua2,ヨシュア,Joshua,
caleb,85歳以上,more than 85 years,
caleb2,カレブ,Caleb,
missionary1,パウロの最初の宣教旅行、c. 西暦47年から48年、バルナバとヨハネ(マルコ),"First Missionary Journey of Paul, c. 47-48 C.E. with Barnabas and John Mark",
circumcision,アンティオキアにおける割礼の問題、エルサレムでの会議 c． 西暦49年,"Circumcision issue at Antioch, conference in Jerusalem c. 49 C.E.",
missionary2,第2回宣教旅行 c． 西暦49～52年、シラス（シルヴァヌス）と,Second Missionary Journey c. 49-52 C.E with Silas (Silvanus),
