person,born,died,notes
Adam,-4026,-3096,1. Mose 5
Seth,-3896,-2984,
Enosch,-3791,-2886,
Kenan,-3701,-2791,
Mahalalel,-3631,-2736,
Jared,-3566,-2604,
Henoch,-3404,-3039,
Methusalah,-3339,-2370,
Lamech,-3152,-2377,
Noah,-2970,-2020,flood 2370 BCE
Sem,-2468,-1868,1. Mose 11
Arpachschad,-2368,-1930,
Schelach,-2333,-1900,
Eber,-2303,-1839,
Peleg,-2269,-2030,
Reu,-2239,-2000,
Serug,-2207,-1977,
Nahor,-2177,-2029,
Terach,-2148,-1943,
Abraham,-2018,-1843,
Isaak,-1918,-1738,
Jakob,-1858,-1711,
Joseph,-1767,-1657,
Moses,-1593,-1473,
